trial_id,run_id,model_name,task_id,task_family,expected_answer,condition_label,noise_type,noise_size_target,actual_noise_words,actual_noise_chars,raw_response,parsed_answer,is_correct,is_compliant,error_category,latency_ms,response_words,response_chars,distractor_adopted
292942ef-dd08-47bf-ac6e-fe83cfa6dd52,a1b3b36a-ce7c-4a9b-b8a0-37c77beb1538,openai/gpt-4.1-mini,retr_036,retrieval,AURORA,similar_250,similar_irrelevant,250,254,1537,QUARRY,QUARRY,False,True,E2,1076.260795000053,1,6,True
32630cac-e16a-4d8b-bc64-af83504bc435,a1b3b36a-ce7c-4a9b-b8a0-37c77beb1538,openai/gpt-4.1-mini,retr_003,retrieval,SOLACE,similar_250,similar_irrelevant,250,250,1551,VECTOR,VECTOR,False,True,E2,806.8700429994351,1,6,True
4632b036-a4b7-47c3-9791-7909e79eb74f,a1b3b36a-ce7c-4a9b-b8a0-37c77beb1538,openai/gpt-4.1-mini,retr_032,retrieval,CINDER,similar_250,similar_irrelevant,250,258,1629,SUMMIT,SUMMIT,False,True,E2,1412.796991000505,1,6,True
d6403c3e-74d5-4d4c-beda-17ab771dc768,a1b3b36a-ce7c-4a9b-b8a0-37c77beb1538,openai/gpt-4.1-mini,arith_010,arithmetic,32,random_4000,random_unrelated,4000,4003,24296,34,34,False,True,E2,1889.2175420005515,1,2,False
89551177-92d0-466d-8ef4-78842457af77,a1b3b36a-ce7c-4a9b-b8a0-37c77beb1538,openai/gpt-4.1-mini,retr_022,retrieval,CINDER,similar_250,similar_irrelevant,250,252,1547,SUMMIT,SUMMIT,False,True,E2,1247.4307299999055,1,6,True
1cf0a3b9-a4c9-4aa3-a8a7-a7ab6d373b1f,a1b3b36a-ce7c-4a9b-b8a0-37c77beb1538,openai/gpt-4.1-mini,arith_010,arithmetic,32,similar_1000,similar_irrelevant,1000,1006,6596,20,20,False,True,E2,3488.2030640001176,1,2,False
5690ae14-1c4a-4e34-b888-5591e14839f8,a1b3b36a-ce7c-4a9b-b8a0-37c77beb1538,openai/gpt-4.1-mini,retr_003,retrieval,SOLACE,similar_4000,similar_irrelevant,4000,4005,24265,VECTOR,VECTOR,False,True,E2,1956.0920519998035,1,6,True
648b29c2-dbe9-477b-82a9-604a1579f500,a1b3b36a-ce7c-4a9b-b8a0-37c77beb1538,openai/gpt-4.1-mini,arith_010,arithmetic,32,noise_0,random_unrelated,0,0,0,34,34,False,True,E2,1877.8006230004394,1,2,False
c12ee375-3ff0-4977-819b-2ded00cc72d8,a1b3b36a-ce7c-4a9b-b8a0-37c77beb1538,openai/gpt-4.1-mini,retr_006,retrieval,AURORA,similar_1000,similar_irrelevant,1000,1002,6062,QUARRY,QUARRY,False,True,E2,1707.6984249997622,1,6,True
96aa4c37-5baf-420e-a21b-df8423882c3f,a1b3b36a-ce7c-4a9b-b8a0-37c77beb1538,openai/gpt-4.1-mini,arith_010,arithmetic,32,similar_4000,similar_irrelevant,4000,4004,26367,20,20,False,True,E2,3120.584484000574,1,2,False
